de,P,ADP,P,VER:ppre,RNNinoperate,ADP
la,D,VERB,DET,DET:ART,RNNinoperate,DET
Croix,N,DET,N,NOM,RNNinoperate,PROPN
-,PONCT,NOUN,PUNC,ADJ,RNNinoperate,PUNCT
rouge,A,ADJ,N,PRP,RNNinoperate,ADJ
nationale,A,ADP,ADJ,DET:ART,RNNinoperate,ADJ
et,C,DET,CC,NAM,RNNinoperate,CCONJ
internationale,A,PROPN,ADJ,PUN,RNNinoperate,ADJ
.,PONCT,PUNCT,PUNC,NOM,RNNinoperate,PUNCT
Sur,P,NOUN,P,ADJ,RNNinoperate,ADP
les,D,ADJ,DET,KON,RNNinoperate,DET
trente,A,CCONJ,ADJ,ADJ,RNNinoperate,NUM
-,PONCT,ADJ,PUNC,SENT,RNNinoperate,PUNCT
cinq,A,PUNCT,DET,PRP,RNNinoperate,ADJ
mille,A,ADP,DET,DET:ART,RNNinoperate,NOUN
réfugiés,N,DET,NC,NUM,RNNinoperate,VERB
répartis,V,NUM,VPP,PUN,RNNinoperate,ADP
dans,P,PUNCT,P,NUM,RNNinoperate,DET
la,D,NUM,DET,NUM,RNNinoperate,NOUN
plupart,A,AUX,NC,VER:pper,RNNinoperate,ADP+DET
des,D,NOUN,P,VER:pper,RNNinoperate,NOUN
villages,N,VERB,NC,PRP,RNNinoperate,ADJ
frontaliers,A,ADP,ADJ,DET:ART,RNNinoperate,PUNCT
",",PONCT,DET,PUNC,NOM,RNNinoperate,PRON
on,CL,NOUN,CLS,PRP:det,RNNinoperate,VERB
note,V,DET,V,NOM,RNNinoperate,DET
une,D,NOUN,DET,ADJ,RNNinoperate,NOUN
majorité,N,ADJ,NC,PUN,RNNinoperate,ADP
de,P,PUNCT,P,PRO:PER,RNNinoperate,NOUN
femmes,N,PRON,NC,VER:pres,RNNinoperate,CCONJ
et,C,VERB,CC,DET:ART,RNNinoperate,ADP
d',P,DET,P,NOM,RNNinoperate,NOUN
enfants,N,NOUN,NC,PRP,RNNinoperate,PUNCT
.,PONCT,ADP,PUNC,NOM,RNNinoperate,ADP
Selon,P,NOUN,P,KON,RNNinoperate,DET
des,D,CCONJ,DET,NOM,RNNinoperate,NOUN
témoignages,N,NOUN,NC,PUN,RNNinoperate,PUNCT
",",PONCT,PUNCT,PUNC,NOM,RNNinoperate,DET
les,D,NOUN,DET,SENT,RNNinoperate,NOUN
hommes,N,PUNCT,NC,PRP,RNNinoperate,AUX
sont,V,ADP,V,PRP:det,RNNinoperate,ADV
systématiquement,ADV,DET,ADV,NOM,RNNinoperate,VERB
arrêtés,V,NOUN,VPP,PUN,RNNinoperate,ADP
par,P,PUNCT,P,DET:ART,RNNinoperate,DET
les,D,DET,DET,NOM,RNNinoperate,NOUN
soldats,N,NOUN,NC,VER:pres,RNNinoperate,ADJ
libériens,A,AUX,ADJ,ADV,RNNinoperate,VERB
craignant,V,ADV,VPR,VER:pper,RNNinoperate,ADP
d',P,VERB,P,PRP,RNNinoperate,VERB
avoir,V,ADP,VINF,DET:ART,RNNinoperate,NOUN
affaire,N,DET,NC,NOM,RNNinoperate,ADP
à,P,NOUN,P,ADJ,RNNinoperate,DET
des,D,ADJ,DET,VER:ppre,RNNinoperate,NOUN
maquisards,N,VERB,NC,NOM,RNNinoperate,PUNCT
.,PONCT,NOUN,PUNC,PUN,RNNinoperate,ADP
Pour,P,PUNCT,P,VER:infi,RNNinoperate,DET
les,D,VERB,DET,NOM,RNNinoperate,NOUN
secouristes,N,NOUN,NC,PRP,RNNinoperate,PUNCT
",",PONCT,ADP,PUNC,PRP:det,RNNinoperate,DET
la,D,DET,DET,NOM,RNNinoperate,ADJ
première,A,NOUN,ADJ,SENT,RNNinoperate,NOUN
urgence,N,PUNCT,NC,PRP,RNNinoperate,VERB
est,V,ADP,V,DET:ART,RNNinoperate,ADP
de,P,DET,P,NOM,RNNinoperate,VERB
vacciner,V,NOUN,VINF,PUN,RNNinoperate,DET
les,D,PUNCT,DET,DET:ART,RNNinoperate,NOUN
enfants,N,DET,NC,NUM,RNNinoperate,ADP
en,P,ADJ,P,NOM,RNNinoperate,ADJ
bas,A,NOUN,ADJ,VER:pres,RNNinoperate,NOUN
âge,N,AUX,NC,PRP,RNNinoperate,ADP
contre,P,ADP,P,VER:infi,RNNinoperate,DET
la,D,VERB,DET,DET:ART,RNNinoperate,NOUN
fièvre,N,DET,NC,NOM,RNNinoperate,ADJ
jaune,A,NOUN,ADJ,PRP,RNNinoperate,CCONJ
et,C,ADP,CC,ADJ,RNNinoperate,DET
la,D,ADJ,DET,NOM,RNNinoperate,NOUN
rougeole,N,NOUN,NC,PRP,RNNinoperate,PUNCT
.,PONCT,ADP,PUNC,DET:ART,RNNinoperate,DET
Le,D,DET,DET,NOM,RNNinoperate,ADJ
deuxième,A,NOUN,ADJ,ADJ,RNNinoperate,NOUN
problème,N,ADJ,NC,KON,RNNinoperate,VERB
est,V,CCONJ,V,DET:ART,RNNinoperate,DET
la,D,DET,DET,NOM,RNNinoperate,NOUN
nourriture,N,NOUN,NC,SENT,RNNinoperate,PUNCT
.,PONCT,PUNCT,PUNC,DET:ART,RNNinoperate,VERB
Offerte,V,DET,VPP,NUM,RNNinoperate,ADV
spontanément,ADV,ADJ,ADV,NOM,RNNinoperate,ADP
par,P,NOUN,P,VER:pres,RNNinoperate,DET
les,D,AUX,DET,DET:ART,RNNinoperate,NOUN
habitants,N,DET,NC,NOM,RNNinoperate,ADP
de,P,NOUN,P,SENT,RNNinoperate,DET
la,D,PUNCT,DET,VER:pper,RNNinoperate,NOUN
région,N,VERB,NC,ADV,RNNinoperate,PRON
qui,PRO,VERB,PROREL,PRP,RNNinoperate,AUX
ont,V,ADP,V,DET:ART,RNNinoperate,VERB
accueilli,V,DET,VPP,NOM,RNNinoperate,DET
des,D,NOUN,DET,PRP,RNNinoperate,NOUN
réfugiés,N,ADP,NC,DET:ART,RNNinoperate,PUNCT
",",PONCT,DET,PUNC,NOM,RNNinoperate,PRON
elle,CL,NOUN,CLS,PRO:REL,RNNinoperate,ADV
ne,ADV,PRON,ADV,VER:pres,RNNinoperate,VERB
suffit,V,AUX,V,VER:pper,RNNinoperate,ADV
plus,ADV,VERB,ADV,PRP:det,RNNinoperate,PUNCT
.,PONCT,DET,PUNC,VER:pper,RNNinoperate,ADV
Maintenant,ADV,NOUN,ADV,PUN,RNNinoperate,PUNCT
",",PONCT,PUNCT,PUNC,PRO:PER,RNNinoperate,PRON
c',CL,PRON,DET,ADV,RNNinoperate,VERB
est,V,ADV,DET,VER:pres,RNNinoperate,ADV
environ,ADV,VERB,V,ADV,RNNinoperate,NUM
trois,D,ADV,ADV,SENT,RNNinoperate,NOUN
cents,D,PUNCT,DET,ADV,RNNinoperate,ADP
tonnes,N,ADV,DET,PUN,RNNinoperate,NOUN
de,P,PUNCT,NC,VER:pper,RNNinoperate,PRON
céréales,N,NOUN,P,PUN,RNNinoperate,PRON
qu',PRO,PUNCT,NC,VER:pres,RNNinoperate,AUX
il,CL,AUX,ADJ,PRP,RNNinoperate,VERB
va,V,ADV,PROREL,NUM,RNNinoperate,VERB
falloir,V,NUM,CLS,NOM,RNNinoperate,DET
trouver,V,NOUN,V,NOM,RNNinoperate,NOUN
chaque,D,NOUN,VINF,PRP,RNNinoperate,PUNCT
mois,N,ADP,VINF,NOM,RNNinoperate,PUNCT
“,PONCT,ADJ,DET,ADJ,RNNinoperate,VERB
",",PONCT,PRON,NC,PUN,RNNinoperate,DET
explique,V,PUNCT,PUNC,PRO:PER,RNNinoperate,NOUN
le,D,PRON,PUNC,VER:pres,RNNinoperate,PROPN
docteur,N,VERB,V,VER:infi,RNNinoperate,PROPN
Christophe,N,AUX,DET,VER:infi,RNNinoperate,PUNCT
Lanièce,N,VERB,NC,PRO:IND,RNNinoperate,NOUN
",",PONCT,DET,NPP,NOM,RNNinoperate,ADP
initiateur,N,NOUN,NPP,PUN:cit,RNNinoperate,DET
de,P,PUNCT,PUNC,PUN,RNNinoperate,NOUN
la,D,PUNCT,NC,VER:pres,RNNinoperate,PROPN
mission,N,VERB,P,DET:ART,RNNinoperate,PUNCT
MSF,N,DET,DET,NOM,RNNinoperate,DET
.,PONCT,NOUN,NC,NAM,RNNinoperate,NOUN
L',D,PROPN,NPP,NAM,RNNinoperate,ADJ
armée,N,PROPN,PUNC,PUN,RNNinoperate,PRON
ivoirienne,A,PUNCT,DET,NOM,RNNinoperate,VERB
se,CL,NOUN,NC,PRP,RNNinoperate,ADJ
montre,V,ADP,ADJ,DET:ART,RNNinoperate,PUNCT
discrète,A,DET,CLR,NOM,RNNinoperate,CCONJ
",",PONCT,NOUN,V,NAM,RNNinoperate,ADJ
mais,C,PROPN,ADJ,SENT,RNNinoperate,PUNCT
efficace,A,PUNCT,PUNC,NUM,RNNinoperate,ADP
",",PONCT,NOUN,CC,PUN,RNNinoperate,VERB
pour,P,PUNCT,ADJ,NOM,RNNinoperate,DET
surveiller,V,NOUN,PUNC,ADJ,RNNinoperate,NOUN
l',D,ADJ,P,PRO:PER,RNNinoperate,ADP+DET
afflux,N,PRON,VINF,VER:pres,RNNinoperate,NOUN
des,P+D,ADJ,DET,ADJ,RNNinoperate,PUNCT
réfugiés,N,ADJ,NC,PUN,RNNinoperate,PRON
.,PONCT,PUNCT,P,KON,RNNinoperate,PRON
Il,CL,CCONJ,NC,ADJ,RNNinoperate,VERB
y,CL,ADJ,PUNC,PUN,RNNinoperate,DET
a,V,PUNCT,CLS,PRP,RNNinoperate,NOUN
quelques,D,ADP,CLO,VER:infi,RNNinoperate,PUNCT
jours,N,VERB,V,VER:pper,RNNinoperate,DET
",",PONCT,NOUN,DET,PUN,RNNinoperate,NOUN
une,D,PUNCT,NC,NOM,RNNinoperate,ADP
soixantaine,N,VERB,PUNC,PRP:det,RNNinoperate,NOUN
de,P,DET,DET,VER:pper,RNNinoperate,ADJ
rebelles,N,NOUN,NC,SENT,RNNinoperate,PUNCT
présumés,A,PUNCT,P,PRO:PER,RNNinoperate,PRON
",",PONCT,PRON,NC,PRO:PER,RNNinoperate,PRON
dont,PRO,PRON,VPP,VER:pres,RNNinoperate,AUX
certains,PRO,VERB,PUNC,PRO:IND,RNNinoperate,VERB
étaient,V,DET,PROREL,NOM,RNNinoperate,PUNCT
armés,V,NOUN,PRO,PUN,RNNinoperate,AUX
",",PONCT,PUNCT,V,DET:ART,RNNinoperate,AUX
ont,V,DET,VPP,NOM,RNNinoperate,VERB
été,V,NOUN,PUNC,PRP,RNNinoperate,ADP
transférés,V,ADP,V,NOM,RNNinoperate,PROPN
à,P,ADJ,VPP,VER:pper,RNNinoperate,PUNCT
Abidjan,N,NOUN,VPP,PUN,RNNinoperate,VERB
.,PONCT,PUNCT,P,PRO:REL,RNNinoperate,ADP
Accusées,V,PRON,NPP,PRO:IND,RNNinoperate,PROPN
par,P,PRON,PUNC,VER:impf,RNNinoperate,ADP
Monrovia,N,AUX,VPP,VER:pper,RNNinoperate,VERB
d',P,VERB,P,PUN,RNNinoperate,DET
abriter,V,PUNCT,NPP,VER:pres,RNNinoperate,NOUN
les,D,AUX,P,VER:pper,RNNinoperate,ADP
hommes,N,AUX,VINF,VER:pper,RNNinoperate,DET
de,P,VERB,DET,PRP,RNNinoperate,NOUN
la,D,ADP,NC,NAM,RNNinoperate,PUNCT
rébellion,N,PROPN,P,SENT,RNNinoperate,DET
",",PONCT,PUNCT,DET,VER:pper,RNNinoperate,NOUN
les,D,AUX,NC,PRP,RNNinoperate,ADJ
autorités,N,ADP,PUNC,NAM,RNNinoperate,VERB
ivoiriennes,A,PROPN,DET,VER:futu,RNNinoperate,ADV
entendent,V,NOUN,NC,PUN,RNNinoperate,VERB
bien,ADV,PUNCT,ADJ,VER:infi,RNNinoperate,ADV
prouver,V,VERB,V,DET:ART,RNNinoperate,SCONJ
ainsi,ADV,DET,ADV,NOM,RNNinoperate,PRON
qu',C,NOUN,VINF,PRP,RNNinoperate,ADV
elles,CL,ADP,ADV,DET:ART,RNNinoperate,AUX
ne,ADV,DET,VPP,NOM,RNNinoperate,VERB
sont,V,NOUN,DET,PUN,RNNinoperate,ADP
mêlées,V,PUNCT,PRO,DET:ART,RNNinoperate,DET
d',P,DET,ADV,NOM,RNNinoperate,NOUN
aucune,D,NOUN,V,ADJ,RNNinoperate,ADP
façon,N,ADJ,VPP,VER:pres,RNNinoperate,DET
à,P,ADV,P,ADV,RNNinoperate,NOUN
cette,D,ADV,DET,VER:infi,RNNinoperate,ADJ
affaire,N,VERB,NC,ADV,RNNinoperate,PUNCT
intérieure,A,ADV,P,VER:pper,RNNinoperate,DET
.,PONCT,DET,DET,PUN,RNNinoperate,NOUN
Ce,D,PUNCT,NC,PRO:PER,RNNinoperate,VERB
dossier,N,PRON,ADJ,ADV,RNNinoperate,DET
embarrasse,V,ADV,PUNC,VER:pres,RNNinoperate,PROPN
la,D,AUX,DET,VER:pper,RNNinoperate,PUNCT
Côte,N,VERB,NC,VER:pper,RNNinoperate,ADP
-,PONCT,NOUN,V,PUN,RNNinoperate,PROPN
d',P,PUNCT,DET,PRO:IND,RNNinoperate,PUNCT
Ivoire,N,DET,N,NOM,RNNinoperate,ADJ
",",PONCT,NOUN,PUNC,PRP,RNNinoperate,ADP
soucieuse,A,ADP,P,PRO:DEM,RNNinoperate,VERB
d',P,DET,N,NOM,RNNinoperate,DET
entretenir,V,NOUN,PUNC,ADJ,RNNinoperate,ADJ
de,D,ADJ,ADJ,SENT,RNNinoperate,NOUN
bons,A,PUNCT,P,PRO:DEM,RNNinoperate,ADP
rapports,N,DET,VINF,NOM,RNNinoperate,DET
avec,P,NOUN,DET,VER:pres,RNNinoperate,DET
tous,A,VERB,ADJ,DET:ART,RNNinoperate,NOUN
ses,D,DET,NC,NAM,RNNinoperate,PUNCT
voisins,N,PROPN,P,PUN,RNNinoperate,DET
.,PONCT,PUNCT,ADJ,NOM,RNNinoperate,NOUN
Une,D,NOUN,DET,PUN,RNNinoperate,ADJ
initiative,N,PUNCT,NC,NAM,RNNinoperate,ADP
diplomatique,A,PROPN,PUNC,PUN,RNNinoperate,NOUN
en,P,PUNCT,DET,ADJ,RNNinoperate,ADP
vue,N,ADJ,NC,NOM,RNNinoperate,VERB
d',P,NOUN,ADJ,PUN,RNNinoperate,DET
apaiser,V,PUNCT,P,VER:infi,RNNinoperate,NOUN
les,D,VERB,N,PRP,RNNinoperate,AUX
esprits,N,DET,P,ADJ,RNNinoperate,AUX
a,V,NOUN,VINF,NOM,RNNinoperate,VERB
été,V,VERB,DET,PRP,RNNinoperate,DET
prise,V,ADP,NC,PRO:IND,RNNinoperate,NUM
le,D,ADJ,V,DET:POS,RNNinoperate,NOUN
13,A,DET,VPP,NOM,RNNinoperate,ADP
janvier,N,NOUN,VPP,SENT,RNNinoperate,PROPN
à,P,PUNCT,DET,DET:ART,RNNinoperate,PUNCT
Lomé,N,DET,ADJ,NOM,RNNinoperate,DET
.,PONCT,NOUN,NC,ADJ,RNNinoperate,NOUN
Le,D,ADJ,P,PRP,RNNinoperate,PROPN
général,N,ADP,NPP,NOM,RNNinoperate,PUNCT
Eyadema,N,NOUN,PUNC,ADJ,RNNinoperate,NOUN
",",PONCT,NOUN,DET,PUN,RNNinoperate,ADP+DET
président,N,PUNCT,NC,VER:infi,RNNinoperate,PROPN
du,P+D,VERB,NPP,DET:ART,RNNinoperate,PUNCT
Togo,N,DET,PUNC,NOM,RNNinoperate,AUX
",",PONCT,NOUN,NC,VER:pres,RNNinoperate,VERB
a,V,AUX,P,VER:pper,RNNinoperate,ADP
profité,V,AUX,NPP,VER:pper,RNNinoperate,DET
de,P,VERB,PUNC,DET:ART,RNNinoperate,NOUN
la,D,DET,V,NUM,RNNinoperate,ADP+DET
présence,N,NUM,VPP,NOM,RNNinoperate,NOUN
des,P+D,NOUN,P,PRP,RNNinoperate,ADP
chefs,N,ADP,DET,NAM,RNNinoperate,DET
de,P,PROPN,NC,SENT,RNNinoperate,NOUN
la,D,PUNCT,P,DET:ART,RNNinoperate,ADJ
diplomatie,N,DET,N,ADJ,RNNinoperate,CCONJ
ivoirienne,A,NOUN,P,NAM,RNNinoperate,ADJ
et,C,PROPN,DET,PUN,RNNinoperate,ADV
libérienne,A,PUNCT,NC,NOM,RNNinoperate,ADP
lors,ADV,NOUN,ADJ,PRP:det,RNNinoperate,DET
de,P,DET,CC,NAM,RNNinoperate,NOUN
la,D,PROPN,ADJ,PUN,RNNinoperate,ADP
célébration,N,PUNCT,ADV,VER:pres,RNNinoperate,DET
de,P,AUX,P,VER:pper,RNNinoperate,NOUN
la,D,VERB,DET,PRP,RNNinoperate,ADJ
fête,N,ADP,NC,DET:ART,RNNinoperate,ADP
nationale,A,DET,P,NOM,RNNinoperate,VERB
pour,P,NOUN,DET,PRP:det,RNNinoperate,DET
offrir,V,DET,NC,NOM,RNNinoperate,NOUN
ses,D,NOUN,ADJ,PRP,RNNinoperate,ADP
services,N,ADP,P,DET:ART,RNNinoperate,DET
dans,P,DET,VINF,NOM,RNNinoperate,NOUN
un,D,NOUN,DET,ADJ,RNNinoperate,ADP
but,N,ADJ,NC,KON,RNNinoperate,NOUN
de,P,CCONJ,P,ADJ,RNNinoperate,ADP
réconciliation,N,VERB,DET,ADV,RNNinoperate,PROPN
entre,P,ADV,NC,PRP,RNNinoperate,CCONJ
Abidjan,N,ADP,P,DET:ART,RNNinoperate,PROPN
et,C,DET,NC,NOM,RNNinoperate,PUNCT
Monrovia,N,NOUN,P,PRP,RNNinoperate,DET
.,PONCT,ADP,NPP,DET:ART,RNNinoperate,NOUN
Une,D,DET,CC,NOM,RNNinoperate,ADP
quinzaine,N,NOUN,NPP,ADJ,RNNinoperate,NOUN
de,P,ADJ,PUNC,PRP,RNNinoperate,ADJ
militaires,N,ADP,DET,VER:infi,RNNinoperate,AUX
libériens,A,VERB,NC,DET:POS,RNNinoperate,AUX
ont,V,DET,P,NOM,RNNinoperate,VERB
été,V,NOUN,NC,PRP,RNNinoperate,ADP
transférés,V,ADP,ADJ,DET:ART,RNNinoperate,PROPN
à,P,DET,V,NOM,RNNinoperate,PUNCT
Abidjan,N,NOUN,VPP,PRP,RNNinoperate,PRON
.,PONCT,ADP,VPP,NOM,RNNinoperate,AUX
Ils,CL,NOUN,P,PRP,RNNinoperate,VERB
avaient,V,ADP,NPP,NAM,RNNinoperate,VERB
préféré,V,PROPN,PUNC,KON,RNNinoperate,DET
prendre,V,CCONJ,CLS,NAM,RNNinoperate,NOUN
la,D,PROPN,V,SENT,RNNinoperate,ADP
fuite,N,PUNCT,VPP,DET:ART,RNNinoperate,PROPN
en,P,DET,VINF,NOM,RNNinoperate,PUNCT
Côte,N,NOUN,DET,PRP,RNNinoperate,ADP
-,PONCT,ADP,NC,ADJ,RNNinoperate,PROPN
d',P,NOUN,P,NOM,RNNinoperate,ADV
Ivoire,N,ADJ,N,VER:pres,RNNinoperate,SCONJ
alors,ADV,AUX,PUNC,VER:pper,RNNinoperate,PRON
qu',C,AUX,P,VER:pper,RNNinoperate,AUX
ils,CL,VERB,N,PRP,RNNinoperate,VERB
étaient,V,ADP,ADV,NAM,RNNinoperate,ADP
assaillis,V,PROPN,ADJ,SENT,RNNinoperate,DET
par,P,PUNCT,CS,PRO:PER,RNNinoperate,NOUN
les,D,PRON,CLS,VER:impf,RNNinoperate,DET
maquisards,N,AUX,V,VER:pper,RNNinoperate,NUM
le,D,VERB,VPP,VER:infi,RNNinoperate,NOUN
6,A,VERB,P,DET:ART,RNNinoperate,ADP
janvier,N,DET,DET,NOM,RNNinoperate,PROPN
à,P,NOUN,NC,PRP,RNNinoperate,PUNCT
Logata,N,ADP,DET,NAM,RNNinoperate,DET
.,PONCT,PROPN,ADJ,PUN,RNNinoperate,NOUN
L',D,PUNCT,NC,NOM,RNNinoperate,ADP+DET
ambassadeur,N,NOUN,P,PUN,RNNinoperate,PROPN
du,P+D,PUNCT,NPP,NOM,RNNinoperate,ADP
Libéria,N,PROPN,PUNC,ADV,RNNinoperate,PROPN
en,P,ADV,DET,ADJ,RNNinoperate,PUNCT
Côte,N,DET,NC,PUN,RNNinoperate,ADP
-,PONCT,PUNCT,P,PRO:PER,RNNinoperate,PROPN
d',P,PRON,NPP,VER:impf,RNNinoperate,PRON
Ivoire,N,AUX,P,VER:simp,RNNinoperate,AUX
s',CL,VERB,N,PRP,RNNinoperate,VERB
est,V,ADP,PUNC,DET:ART,RNNinoperate,ADP
inquiété,V,DET,P,NOM,RNNinoperate,DET
de,P,NOUN,N,DET:ART,RNNinoperate,NOUN
leur,D,DET,ET,NUM,RNNinoperate,CCONJ
sort,N,NUM,ET,NOM,RNNinoperate,VERB
et,C,NOUN,V,PRP,RNNinoperate,SCONJ
demande,V,ADP,VPP,NAM,RNNinoperate,PRON
qu',C,PROPN,P,SENT,RNNinoperate,AUX
ils,CL,PUNCT,DET,NUM,RNNinoperate,VERB
soient,V,NOUN,NC,PUN,RNNinoperate,PUNCT
relâchés,V,PUNCT,CC,NOM,RNNinoperate,DET
.,PONCT,NOUN,V,PRP:det,RNNinoperate,NOUN
Le,D,DET,DET,NAM,RNNinoperate,ADJ
responsable,N,PROPN,DET,PRP,RNNinoperate,ADP+DET
politique,A,ADP,CLS,NAM,RNNinoperate,PROPN
du,P+D,PROPN,VS,PUN,RNNinoperate,PUNCT
Fath,N,PUNCT,VPP,NOM,RNNinoperate,ADJ
"(",PONCT,NOUN,PUNC,PUN,RNNinoperate,NOUN
principale,A,PUNCT,DET,NAM,RNNinoperate,ADP
composante,N,PROPN,NC,VER:simp,RNNinoperate,DET
de,P,NOUN,ADJ,PUN,RNNinoperate,PROPN
l',D,PUNCT,P,VER:pres,RNNinoperate,PUNCT
OLP,N,AUX,NPP,VER:pper,RNNinoperate,ADP+DET
")",PONCT,VERB,PUNC,PRP,RNNinoperate,PROPN
au,P+D,ADP,ADJ,DET:POS,RNNinoperate,PUNCT
Liban,N,DET,NC,NOM,RNNinoperate,NOUN
",",PONCT,NOUN,P,KON,RNNinoperate,PROPN
Mr,N,CCONJ,DET,VER:pres,RNNinoperate,PROPN
Zeid,N,VERB,NPP,VER:pper,RNNinoperate,PUNCT
Wehbé,N,DET,PUNC,PUN,RNNinoperate,AUX
",",PONCT,PUNCT,P,PRO:PER,RNNinoperate,VERB
a,V,PRON,NPP,VER:subp,RNNinoperate,PUNCT
affirmé,V,AUX,PUNC,VER:pper,RNNinoperate,NOUN
",",PONCT,VERB,NC,SENT,RNNinoperate,NUM
mercredi,N,PUNCT,NPP,DET:ART,RNNinoperate,NOUN
17,A,DET,NPP,ADJ,RNNinoperate,PUNCT
janvier,N,NOUN,PUNC,NOM,RNNinoperate,SCONJ
",",PONCT,ADJ,V,PRP:det,RNNinoperate,DET
que,C,DET,VPP,NOM,RNNinoperate,PROPN
l',D,PROPN,PUNC,PUN,RNNinoperate,ADV
OLP,N,PUNCT,NC,ADJ,RNNinoperate,PUNCT
